"word_id","synset_id","NoYES","NoTOTAL","acc_rate"
"5527","n#10050983","0","5","0.0000"
"5527","n#10063906","0","5","0.0000"
"5527","n#10386828","2","5","0.4000"
"5527","n#10399952","0","5","0.0000"
"5527","n#W0003121","0","5","0.0000"
"5527","n#W0003123","0","5","0.0000"
"5527","n#W0003130","0","5","0.0000"
"5528","n#00102269","1","5","0.2000"
"5528","n#00561563","1","5","0.2000"
"5528","n#00731811","1","5","0.2000"
"5528","n#00738216","2","5","0.4000"
"5528","n#00768711","2","5","0.4000"
"5528","n#00771599","0","5","0.0000"
"5528","n#03679828","1","5","0.2000"
"5528","n#03831455","1","5","0.2000"
"5528","n#03930426","3","5","0.6000"
"5528","n#04032066","0","5","0.0000"
"5528","n#04043948","3","5","0.6000"
"5528","n#04045518","3","5","0.6000"
"5528","n#04348023","0","5","0.0000"
"5528","n#04398446","0","5","0.0000"
"5528","n#04401836","0","5","0.0000"
"5528","n#04462241","2","5","0.4000"
"5528","n#04495853","3","5","0.6000"
"5528","n#04564824","1","5","0.2000"
"5528","n#04567146","1","5","0.2000"
"5528","n#04705103","2","5","0.4000"
"5528","n#04832357","1","5","0.2000"
"5528","n#04918568","2","5","0.4000"
"5528","n#05079660","1","5","0.2000"
"5528","n#06182017","0","5","0.0000"
"5528","n#06947830","3","5","0.6000"
"5528","n#07492073","3","5","0.6000"
"5528","n#07540044","3","5","0.6000"
"5528","n#07768179","1","5","0.2000"
"5528","n#10357033","2","5","0.4000"
"5528","n#10358851","3","5","0.6000"
"5528","n#10359826","2","5","0.4000"
"5528","n#10411732","0","5","0.0000"
"6321","r#00010099","3","5","0.6000"
"6321","r#00010997","3","5","0.6000"
"6321","r#00011399","0","5","0.0000"
"6321","r#00011647","0","5","0.0000"
"6321","r#00011960","3","5","0.6000"
"6321","r#00012297","2","5","0.4000"
"6321","r#00012494","0","5","0.0000"
"6321","r#00012661","0","5","0.0000"
"6321","r#00013153","0","5","0.0000"
"6321","r#00013484","4","5","0.8000"
"6321","r#00013750","3","5","0.6000"
"6321","r#00013875","1","5","0.2000"
"6321","r#00014002","0","5","0.0000"
"6321","r#00014198","3","5","0.6000"
"6321","r#00040173","1","5","0.2000"
"6321","r#00135578","4","5","0.8000"
"6321","r#00176097","2","5","0.4000"
"6321","r#00183182","4","5","0.8000"
"6321","r#00215491","3","5","0.6000"
"6321","r#00226872","0","5","0.0000"
"6322","r#00010099","2","5","0.4000"
"6322","r#00010997","1","5","0.2000"
"6322","r#00011399","0","5","0.0000"
"6322","r#00011647","0","5","0.0000"
"6322","r#00011960","1","5","0.2000"
"6322","r#00012297","2","5","0.4000"
"6322","r#00012494","0","5","0.0000"
"6322","r#00012661","0","5","0.0000"
"6322","r#00013153","0","5","0.0000"
"6322","r#00013484","2","5","0.4000"
"6322","r#00013750","2","5","0.4000"
"6322","r#00013875","1","5","0.2000"
"6322","r#00014002","0","5","0.0000"
"6362","v#00581211","5","5","1.0000"
"6362","v#00587155","4","5","0.8000"
"6362","v#00587298","5","5","1.0000"
"6362","v#00587744","4","5","0.8000"
"6362","v#01548774","2","5","0.4000"
"6984","r#00032928","2","5","0.4000"
"6984","r#00033143","2","5","0.4000"
"6984","r#00033273","2","5","0.4000"
"6984","r#00082992","2","5","0.4000"
"6984","r#00089880","2","5","0.4000"
"6984","r#00102338","1","5","0.2000"
"6984","r#00284957","4","5","0.8000"
"6984","r#00285860","0","5","0.0000"
"6984","r#00291472","0","5","0.0000"
"7107","n#02349720","0","5","0.0000"
"7107","n#02923710","0","5","0.0000"
"7107","n#04063459","0","5","0.0000"
"7107","n#04259503","0","5","0.0000"
"7107","n#05760066","1","5","0.2000"
"7107","n#08734429","4","5","0.8000"
"7107","n#08734702","5","5","1.0000"
"7107","n#09422963","1","5","0.2000"
"7108","n#02349720","0","5","0.0000"
"7108","n#02923710","0","5","0.0000"
"7108","n#04063459","0","5","0.0000"
"7108","n#04259503","0","5","0.0000"
"7108","n#05760066","1","5","0.2000"
"7108","n#08734429","4","5","0.8000"
"7108","n#08734702","5","5","1.0000"
"7108","n#09422963","1","5","0.2000"
"7310","v#00096541","0","5","0.0000"
"7310","v#00177425","2","5","0.4000"
"7310","v#00334002","4","5","0.8000"
"7310","v#00384091","0","5","0.0000"
"7310","v#00429976","0","5","0.0000"
"7310","v#00624932","0","5","0.0000"
"7310","v#00762743","4","5","0.8000"
"7310","v#00763053","4","5","0.8000"
"7310","v#00822999","0","5","0.0000"
"7310","v#00823166","0","5","0.0000"
"7310","v#00841893","2","5","0.4000"
"7310","v#00846512","0","5","0.0000"
"7310","v#00857046","4","5","0.8000"
"7310","v#00857738","4","5","0.8000"
"7310","v#00859460","3","5","0.6000"
"7310","v#00859683","3","5","0.6000"
"7310","v#00903064","4","5","0.8000"
"7310","v#00957965","3","5","0.6000"
"7310","v#00966768","4","5","0.8000"
"7310","v#00969848","0","5","0.0000"
"7310","v#01066937","1","5","0.2000"
"7310","v#01125549","0","5","0.0000"
"7310","v#01149776","0","5","0.0000"
